PLAYER_NAME,recovered_shots,slump_shots,avg_shot_distance_recovered,avg_shot_distance_slump,avg_loc_x_recovered,avg_loc_x_slump,avg_loc_y_recovered,avg_loc_y_slump,avg_shot_distance_change,most_common_slump_shot_zone,slump_shot_count,most_common_recovery_shot_zone,recovery_shot_count
Jalen Williams,47,233,12.361702127659575,11.24892703862661,0.8085106382978723,-5.523605150214593,99.17021276595744,85.7510729613734,1.112775089032965,In The Paint (Non-RA),75,Restricted Area,18
Jamal Murray,55,238,11.309090909090909,15.336134453781513,-27.163636363636364,-17.096638655462186,87.87272727272727,122.89915966386555,-4.0270435446906045,Above the Break 3,73,Restricted Area,20
James Harden,61,406,15.360655737704919,16.935960591133004,24.491803278688526,19.43103448275862,125.22950819672131,144.05172413793105,-1.5753048534280847,Above the Break 3,198,Above the Break 3,27
Jaren Jackson Jr.,51,264,10.470588235294118,14.007575757575758,-11.235294117647058,16.15530303030303,82.76470588235294,103.93181818181819,-3.53698752228164,In The Paint (Non-RA),106,In The Paint (Non-RA),23
Jarrett Allen,9,35,2.4444444444444446,2.8,-6.777777777777778,-5.285714285714286,22.333333333333332,26.514285714285716,-0.3555555555555552,Restricted Area,23,Restricted Area,7
Jaylen Brown,43,250,8.953488372093023,13.632,-3.186046511627907,-11.068,64.0,101.288,-4.6785116279069765,Above the Break 3,72,Restricted Area,17
Jayson Tatum,62,381,12.419354838709678,16.62992125984252,-30.483870967741936,-9.301837270341208,102.8225806451613,134.98687664041995,-4.210566421132841,Above the Break 3,172,Restricted Area,23
Jimmy Butler III,18,92,5.944444444444445,10.0,-9.444444444444445,1.173913043478261,31.666666666666668,54.05434782608695,-4.055555555555555,Restricted Area,31,Restricted Area,8
Jonas Valančiūnas,11,74,5.090909090909091,6.594594594594595,-7.454545454545454,7.77027027027027,46.09090909090909,50.729729729729726,-1.503685503685504,Restricted Area,32,Restricted Area,8
Jordan Poole,36,260,16.916666666666668,18.503846153846155,14.416666666666666,1.9461538461538461,128.02777777777777,148.09615384615384,-1.5871794871794869,Above the Break 3,133,Above the Break 3,18
Josh Giddey,27,177,9.481481481481481,11.384180790960452,-15.37037037037037,-19.10734463276836,49.666666666666664,71.0225988700565,-1.9026993094789706,Restricted Area,61,Restricted Area,13
Josh Hart,27,131,4.2592592592592595,11.679389312977099,-4.777777777777778,-7.5038167938931295,38.48148148148148,79.58015267175573,-7.420130053717839,Restricted Area,50,Restricted Area,20
Julius Randle,36,173,8.777777777777779,9.92485549132948,-21.5,-15.514450867052023,65.88888888888889,75.61271676300578,-1.1470777135517007,Restricted Area,72,Restricted Area,18
Karl-Anthony Towns,39,186,7.846153846153846,11.043010752688172,-10.743589743589743,-2.6129032258064515,63.43589743589744,92.30645161290323,-3.196856906534326,Restricted Area,75,Restricted Area,19
Kawhi Leonard,25,118,9.64,13.135593220338983,16.92,-4.8559322033898304,81.76,99.99152542372882,-3.495593220338982,In The Paint (Non-RA),41,In The Paint (Non-RA),9
Keegan Murray,34,166,15.264705882352942,16.927710843373493,-12.970588235294118,-0.5301204819277109,86.52941176470588,103.355421686747,-1.663004961020551,Above the Break 3,58,Above the Break 3,11
Keldon Johnson,24,139,3.2083333333333335,13.0,17.5,-9.510791366906474,25.958333333333332,71.17985611510791,-9.791666666666666,Restricted Area,51,Restricted Area,18
Kelly Oubre Jr.,28,145,5.642857142857143,10.36551724137931,21.035714285714285,-11.455172413793104,46.357142857142854,70.06206896551724,-4.722660098522167,Restricted Area,64,Restricted Area,18
Keon Johnson,29,220,8.275862068965518,15.531818181818181,-4.896551724137931,-1.3045454545454545,57.41379310344828,96.96363636363637,-7.2559561128526635,Above the Break 3,80,Restricted Area,14
Kevin Durant,48,174,13.083333333333334,15.977011494252874,-14.625,12.591954022988507,105.125,113.86206896551724,-2.8936781609195403,In The Paint (Non-RA),51,Mid-Range,16
Keyonte George,36,281,15.38888888888889,16.434163701067614,30.75,-8.195729537366548,119.30555555555556,121.66903914590748,-1.0452748121787252,Above the Break 3,120,Above the Break 3,15
Klay Thompson,31,217,18.967741935483872,18.87557603686636,53.064516129032256,16.29953917050691,110.3225806451613,107.64516129032258,0.09216589861751245,Above the Break 3,91,Above the Break 3,15
Kyle Kuzma,27,227,11.851851851851851,13.268722466960352,1.4814814814814814,4.246696035242291,69.81481481481481,86.84140969162996,-1.4168706151085004,Restricted Area,65,Restricted Area,8
Kyrie Irving,39,214,14.23076923076923,14.074766355140186,-2.230769230769231,-20.299065420560748,98.38461538461539,95.66822429906541,0.1560028756290439,Above the Break 3,60,Above the Break 3,12
LaMelo Ball,53,348,15.471698113207546,16.35919540229885,-16.849056603773583,-7.330459770114943,124.90566037735849,127.32471264367815,-0.8874972890913053,Above the Break 3,145,Above the Break 3,22
LeBron James,44,229,9.840909090909092,12.790393013100436,-3.2045454545454546,-21.75545851528384,76.81818181818181,100.2707423580786,-2.9494839221913445,In The Paint (Non-RA),66,Restricted Area,18
Luka Dončić,43,264,15.55813953488372,15.143939393939394,-16.488372093023255,-8.655303030303031,127.69767441860465,123.6780303030303,0.41420014094432567,Above the Break 3,91,Above the Break 3,19
Malik Beasley,39,309,19.05128205128205,19.25566343042071,-3.948717948717949,-2.540453074433657,131.71794871794873,134.89644012944984,-0.20438137913865972,Above the Break 3,163,Above the Break 3,20
Malik Monk,36,217,10.5,15.188940092165899,-16.944444444444443,-16.903225806451612,84.52777777777777,123.28110599078342,-4.688940092165899,Above the Break 3,83,Restricted Area,15
Michael Porter Jr.,34,198,6.5588235294117645,15.186868686868687,-10.117647058823529,3.3585858585858586,53.3235294117647,121.58080808080808,-8.628045157456922,Above the Break 3,78,Restricted Area,23
Mikal Bridges,35,238,8.885714285714286,16.50420168067227,8.857142857142858,14.760504201680673,47.48571428571429,91.54621848739495,-7.6184873949579845,Above the Break 3,58,Restricted Area,13
Miles Bridges,45,271,9.555555555555555,14.232472324723247,-6.355555555555555,9.476014760147601,60.62222222222222,100.0590405904059,-4.676916769167692,Above the Break 3,84,Restricted Area,20
Myles Turner,30,159,14.766666666666667,15.10062893081761,38.4,15.421383647798741,119.1,115.57232704402516,-0.33396226415094254,Above the Break 3,55,Above the Break 3,12
Naji Marshall,20,109,6.5,12.81651376146789,-15.35,-2.458715596330275,45.0,83.75229357798165,-6.31651376146789,In The Paint (Non-RA),39,In The Paint (Non-RA),10
